pick,round,manager_id,player_id
1,1,3,shoheiohtani-DH
2,1,7,joseramirez-3B
3,1,8,treaturner-SS
4,1,4,gerritcole-SP
5,1,1,corbinburnes-SP
6,1,6,juansoto-OF
7,1,5,freddiefreeman-1B
8,1,2,vladimirguerrerojr-1B
9,2,2,aaronjudge-OF
10,2,5,maxscherzer-SP
11,2,6,aaronnola-SP
12,2,1,mannymachado-3B
13,2,4,mookiebetts-OF
14,2,8,ronaldacunajr-OF
15,2,7,sandyalcantara-SP
16,2,3,jacobdegrom-SP
17,3,3,shanebieber-SP
18,3,7,yordanalvarez-OF
19,3,8,miketrout-OF
20,3,4,dylancease-SP
21,3,1,marcussemien-2B
22,3,6,kyletucker-OF
23,3,5,nolanarenado-3B
24,3,2,justinverlander-SP
25,4,2,alexbregman-3B
26,4,5,austinriley-3B
27,4,6,shanemcclanahan-SP
28,4,1,paulgoldschmidt-1B
29,4,4,petealonso-1B
30,4,8,zackwheeler-SP
31,4,7,mattolson-1B
32,4,3,kevingausman-SP
33,5,3,coreyseager-SS
34,5,7,brandonwoodruff-SP
35,5,8,rafaeldevers-3B
36,5,4,bobbywittjr-SS
37,5,1,juliorodriguez-OF
38,5,6,franciscolindor-SS
39,5,5,maxfried-SP
40,5,2,spencerstrider-SP
41,6,2,fernandotatisjr-SS
42,6,5,bobichette-SS
43,6,6,luiscastillo-SP
44,6,1,robbieray-SP
45,6,4,alekmanoah-SP
46,6,8,yudarvish-SP
47,6,7,kyleschwarber-OF
48,6,3,juliourias-SP
49,7,3,willsmith-C
50,7,7,devinwilliams-RP
51,7,8,georgespringer-OF
52,7,4,wanderfranco-SS
53,7,1,emmanuelclase-RP
54,7,6,ozziealbies-2B
55,7,5,jakecronenworth-2B
56,7,2,zacgallen-SP
57,8,2,frambervaldez-SP
58,8,5,jtrealmuto-C
59,8,6,cristianjavier-SP
60,8,1,loganwebb-SP
61,8,4,bryanreynolds-OF
62,8,8,cedricmullins-OF
63,8,7,xanderbogaerts-SS
64,8,3,joshbell-1B
65,9,3,stevenkwan-OF
66,9,7,tristonmckenzie-SP
67,9,8,pablolopez-SP
68,9,4,anthonysantander-OF
69,9,1,carloscorrea-SS
70,9,6,vinniepasquantino-1B
71,9,5,michaelharrisii-OF
72,9,2,logangilbert-SP
73,10,2,adleyrutschman-C
74,10,5,christianyelich-OF
75,10,6,daultonvarsho-C
76,10,1,nestorcortes-SP
77,10,4,joshhader-RP
78,10,8,luisarraez-1B
79,10,7,tommyedman-2B
80,10,3,brandonnimmo-OF
81,11,3,dansbyswanson-SS
82,11,7,randyarozarena-OF
83,11,8,joseabreu-1B
84,11,4,charliemorton-SP
85,11,1,blakesnell-SP
86,11,6,carlosrodon-SP
87,11,5,kenleyjansen-RP
88,11,2,luisrobertjr-OF
89,12,2,masatakayoshida-OF
90,12,5,craigkimbrel-RP
91,12,6,eloyjimenez-OF
92,12,1,taylorward-OF
93,12,4,nicklodolo-SP
94,12,8,alejandrokirk-C
95,12,7,mjmelendez-C
96,12,3,jeffmcneil-2B
97,13,3,alexverdugo-OF
98,13,7,anthonyrizzo-1B
99,13,8,bradysinger-SP
100,13,4,josealtuve-2B
101,13,1,christianwalker-1B
102,13,6,gunnarhenderson-3B
103,13,5,chrisbassitt-SP
104,13,2,willyadames-SS
105,14,2,krisbryant-OF
106,14,5,nickcastellanos-OF
107,14,6,tyfrance-1B
108,14,1,corbincarroll-OF
109,14,4,salvadorperez-C
110,14,8,luisgarcia-SP
111,14,7,lucasgiolito-SP
112,14,3,maxmuncy-3B
113,15,3,lancelynn-SP
114,15,7,yandydiaz-3B
115,15,8,ketelmarte-2B
116,15,4,josemiranda-1B
117,15,1,willsoncontreras-C
118,15,6,jordanromano-RP
119,15,5,seanmurphy-C
120,15,2,brandonlowe-2B
