id,name,pos,team,img
aaronashby-SP,Aaron Ashby,SP,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41325.png&w=96&h=70&cb=1
aaroncivale-SP,Aaron Civale,SP,TB,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40934.png&w=96&h=70&cb=1
aaronjudge-OF,Aaron Judge,OF,NYY,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33192.png&w=96&h=70&cb=1
aaronnola-SP,Aaron Nola,SP,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33709.png&w=96&h=70&cb=1
adalbertomondesi-SS,Adalberto Mondesi,SS,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32821.png&w=96&h=70&cb=1
adamduvall-OF,Adam Duvall,OF,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32664.png&w=96&h=70&cb=1
adamfrazier-2B,Adam Frazier,2B,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33546.png&w=96&h=70&cb=1
adamottavino-RP,Adam Ottavino,RP,NYM,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29705.png&w=96&h=70&cb=1
adamwainwright-SP,Adam Wainwright,SP,STL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5403.png&w=96&h=70&cb=1
adbertalzolay-RP,Adbert Alzolay,RP,CHC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39802.png&w=96&h=70&cb=1
adleyrutschman-C,Adley Rutschman,C,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42178.png&w=96&h=70&cb=1
adolisgarcia-OF,Adolis Garcia,OF,TEX,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35537.png&w=96&h=70&cb=1
adrianhouser-SP,Adrian Houser,SP,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32157.png&w=96&h=70&cb=1
ajminter-RP,AJ Minter,RP,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36133.png&w=96&h=70&cb=1
ajpuk-RP,AJ Puk,RP,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36201.png&w=96&h=70&cb=1
ajsmithshawver-SP,AJ SmithShawver,SP,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4917640.png&w=96&h=70&cb=1
alecbohm-3B,Alec Bohm,3B,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41169.png&w=96&h=70&cb=1
alejandrokirk-C,Alejandro Kirk,C,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42081.png&w=96&h=70&cb=1
alekmanoah-SP,Alek Manoah,SP,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42436.png&w=96&h=70&cb=1
alexbregman-3B,Alex Bregman,3B,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34886.png&w=96&h=70&cb=1
alexcobb-SP,Alex Cobb,SP,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31086.png&w=96&h=70&cb=1
alexfaedo-SP,Alex Faedo,SP,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39901.png&w=96&h=70&cb=1
alexisdiaz-RP,Alexis Diaz,RP,CIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4905920.png&w=96&h=70&cb=1
alexkirilloff-OF,Alex Kirilloff,OF,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40636.png&w=96&h=70&cb=1
alexlange-RP,Alex Lange,RP,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40976.png&w=96&h=70&cb=1
alexverdugo-OF,Alex Verdugo,OF,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33786.png&w=96&h=70&cb=1
alexwood-SP,Alex Wood,SP,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32620.png&w=96&h=70&cb=1
amedrosario-SS,Amed Rosario,SS,LAD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33215.png&w=96&h=70&cb=1
andresgimenez-2B,Andres Gimenez,2B,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/37729.png&w=96&h=70&cb=1
andresmunoz-RP,Andres Munoz,RP,SEA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40939.png&w=96&h=70&cb=1
andrewabbott-SP,Andrew Abbott,SP,CIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4414528.png&w=96&h=70&cb=1
andrewbenintendi-OF,Andrew Benintendi,OF,CHW,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34986.png&w=96&h=70&cb=1
andrewchafin-RP,Andrew Chafin,RP,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32810.png&w=96&h=70&cb=1
andrewheaney-SP,Andrew Heaney,SP,TEX,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32672.png&w=96&h=70&cb=1
andrewmccutchen-OF,Andrew McCutchen,OF,PIT,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/28701.png&w=96&h=70&cb=1
andrewpainter-SP,Andrew Painter,SP,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4872683.png&w=96&h=70&cb=1
andrewvaughn-OF,Andrew Vaughn,OF,CHW,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42394.png&w=96&h=70&cb=1
anthonydesclafani-SP,Anthony DeSclafani,SP,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33180.png&w=96&h=70&cb=1
anthonyrendon-3B,Anthony Rendon,3B,LAA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32098.png&w=96&h=70&cb=1
anthonyrizzo-1B,Anthony Rizzo,1B,NYY,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30782.png&w=96&h=70&cb=1
anthonysantander-OF,Anthony Santander,OF,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36084.png&w=96&h=70&cb=1
anthonyvolpe-SS,Anthony Volpe,SS,NYY,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42547.png&w=96&h=70&cb=1
aroldischapman-RP,Aroldis Chapman,RP,TEX,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30442.png&w=96&h=70&cb=1
austingomber-SP,Austin Gomber,SP,COL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34897.png&w=96&h=70&cb=1
austinhays-OF,Austin Hays,OF,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36928.png&w=96&h=70&cb=1
austinmeadows-OF,Austin Meadows,OF,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33197.png&w=96&h=70&cb=1
austinriley-3B,Austin Riley,3B,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34982.png&w=96&h=70&cb=1
baileyfalter-SP,Bailey Falter,SP,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4705677.png&w=96&h=70&cb=1
baileyober-SP,Bailey Ober,SP,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3107919.png&w=96&h=70&cb=1
benjoyce-RP,Ben Joyce,RP,LAA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4867388.png&w=96&h=70&cb=1
benlively-SP,Ben Lively,SP,CIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33194.png&w=96&h=70&cb=1
blakesnell-SP,Blake Snell,SP,SD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33748.png&w=96&h=70&cb=1
bobbymiller-SP,Bobby Miller,SP,LAD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4326703.png&w=96&h=70&cb=1
bobbywittjr-SS,Bobby Witt Jr,SS,KC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42403.png&w=96&h=70&cb=1
bobichette-SS,Bo Bichette,SS,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/38904.png&w=96&h=70&cb=1
bradboxberger-RP,Brad Boxberger,RP,CHC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31495.png&w=96&h=70&cb=1
bradkeller-SP,Brad Keller,SP,KC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35292.png&w=96&h=70&cb=1
bradysinger-SP,Brady Singer,SP,KC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41172.png&w=96&h=70&cb=1
brandonbielak-RP,Brandon Bielak,RP,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41260.png&w=96&h=70&cb=1
brandoncrawford-SS,Brandon Crawford,SS,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30469.png&w=96&h=70&cb=1
brandondrury-3B,Brandon Drury,3B,LAA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32269.png&w=96&h=70&cb=1
brandonlowe-2B,Brandon Lowe,2B,TB,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39961.png&w=96&h=70&cb=1
brandonmarsh-OF,Brandon Marsh,OF,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40803.png&w=96&h=70&cb=1
brandonnimmo-OF,Brandon Nimmo,OF,NYM,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32159.png&w=96&h=70&cb=1
brandonpfaadt-SP,Brandon Pfaadt,SP,ARI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4721302.png&w=96&h=70&cb=1
brandonwilliamson-SP,Brandon Williamson,SP,CIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42431.png&w=96&h=70&cb=1
brandonwoodruff-SP,Brandon Woodruff,SP,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/37515.png&w=96&h=70&cb=1
braxtongarrett-SP,Braxton Garrett,SP,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40971.png&w=96&h=70&cb=1
brayanbello-SP,Brayan Bello,SP,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4720856.png&w=96&h=70&cb=1
brendandonovan-2B,Brendan Donovan,2B,STL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41773.png&w=96&h=70&cb=1
brendanrodgers-2B,Brendan Rodgers,2B,COL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35073.png&w=96&h=70&cb=1
brentrooker-OF,Brent Rooker,OF,OAK,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40926.png&w=96&h=70&cb=1
brentsuter-RP,Brent Suter,RP,COL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36023.png&w=96&h=70&cb=1
brettbaty-3B,Brett Baty,3B,NYM,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42414.png&w=96&h=70&cb=1
briananderson-3B,Brian Anderson,3B,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33776.png&w=96&h=70&cb=1
briceturang-SS,Brice Turang,SS,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41179.png&w=96&h=70&cb=1
brooksraley-RP,Brooks Raley,RP,NYM,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32005.png&w=96&h=70&cb=1
brusdargraterol-RP,Brusdar Graterol,RP,LAD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40965.png&w=96&h=70&cb=1
bryanabreu-RP,Bryan Abreu,RP,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41208.png&w=96&h=70&cb=1
bryanbaker-RP,Bryan Baker,RP,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40884.png&w=96&h=70&cb=1
bryandelacruz-OF,Bryan De La Cruz,OF,MIA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40787.png&w=96&h=70&cb=1
bryanreynolds-OF,Bryan Reynolds,OF,PIT,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/38980.png&w=96&h=70&cb=1
bryanwoo-SP,Bryan Woo,SP,SEA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4629089.png&w=96&h=70&cb=1
bryceelder-SP,Bryce Elder,SP,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4301067.png&w=96&h=70&cb=1
bryceharper-DH,Bryce Harper,DH,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30951.png&w=96&h=70&cb=1
brycemiller-SP,Bryce Miller,SP,SEA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4654313.png&w=96&h=70&cb=1
brysewilson-SP,Bryse Wilson,SP,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40922.png&w=96&h=70&cb=1
brysonstott-SS,Bryson Stott,SS,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42417.png&w=96&h=70&cb=1
byronbuxton-OF,Byron Buxton,OF,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32655.png&w=96&h=70&cb=1
calebferguson-RP,Caleb Ferguson,RP,LAD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41017.png&w=96&h=70&cb=1
calebthielbar-RP,Caleb Thielbar,RP,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32440.png&w=96&h=70&cb=1
calquantrill-SP,Cal Quantrill,SP,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39875.png&w=96&h=70&cb=1
calraleigh-C,Cal Raleigh,C,SEA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41292.png&w=96&h=70&cb=1
camilodoval-RP,Camilo Doval,RP,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41337.png&w=96&h=70&cb=1
carloscarrasco-SP,Carlos Carrasco,SP,NYM,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/28968.png&w=96&h=70&cb=1
carloscorrea-SS,Carlos Correa,SS,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32653.png&w=96&h=70&cb=1
carlosestevez-RP,Carlos Estevez,RP,LAA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34861.png&w=96&h=70&cb=1
carloshernandez-RP,Carlos Hernandez,RP,KC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41233.png&w=96&h=70&cb=1
carlosrodon-SP,Carlos Rodon,SP,NYY,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33696.png&w=96&h=70&cb=1
carlossantana-1B,Carlos Santana,1B,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30280.png&w=96&h=70&cb=1
caseyschmitt-3B,Casey Schmitt,3B,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4301949.png&w=96&h=70&cb=1
cedricmullins-OF,Cedric Mullins,OF,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35578.png&w=96&h=70&cb=1
charlieblackmon-OF,Charlie Blackmon,OF,COL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31084.png&w=96&h=70&cb=1
charliemorton-SP,Charlie Morton,SP,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29155.png&w=96&h=70&cb=1
chaseanderson-SP,Chase Anderson,SP,COL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32690.png&w=96&h=70&cb=1
chasesilseth-SP,Chase Silseth,SP,LAA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4413990.png&w=96&h=70&cb=1
chasmccormick-OF,Chas McCormick,OF,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40574.png&w=96&h=70&cb=1
chrisbassitt-SP,Chris Bassitt,SP,TOR,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33148.png&w=96&h=70&cb=1
chrisdevenski-RP,Chris Devenski,RP,LAA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32511.png&w=96&h=70&cb=1
chrismartin-RP,Chris Martin,RP,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32903.png&w=96&h=70&cb=1
chrissale-SP,Chris Sale,SP,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30948.png&w=96&h=70&cb=1
christaylor-OF,Chris Taylor,OF,LAD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32900.png&w=96&h=70&cb=1
christianbethancourt-C,Christian Bethancourt,C,TB,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31758.png&w=96&h=70&cb=1
christianencarnacionstrand-3B,Christian EncarnacionStrand,3B,CIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5012106.png&w=96&h=70&cb=1
christianvazquez-C,Christian Vazquez,C,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31389.png&w=96&h=70&cb=1
christianwalker-1B,Christian Walker,1B,ARI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32758.png&w=96&h=70&cb=1
christianyelich-OF,Christian Yelich,OF,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31283.png&w=96&h=70&cb=1
christophermorel-OF,Christopher Morel,OF,CHC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42927.png&w=96&h=70&cb=1
cjabrams-SS,CJ Abrams,SS,WSH,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42402.png&w=96&h=70&cb=1
cjcron-1B,CJ Cron,1B,LAA,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32155.png&w=96&h=70&cb=1
clarkeschmidt-RP,Clarke Schmidt,RP,NYY,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41085.png&w=96&h=70&cb=1
clayholmes-RP,Clay Holmes,RP,NYY,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32827.png&w=96&h=70&cb=1
claytonkershaw-SP,Clayton Kershaw,SP,LAD,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/28963.png&w=96&h=70&cb=1
codybellinger-OF,Cody Bellinger,OF,CHC,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33912.png&w=96&h=70&cb=1
coleirvin-SP,Cole Irvin,SP,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39869.png&w=96&h=70&cb=1
colinholderman-RP,Colin Holderman,RP,PIT,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4917897.png&w=96&h=70&cb=1
colinrea-SP,Colin Rea,SP,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33950.png&w=96&h=70&cb=1
collinmchugh-RP,Collin McHugh,RP,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32569.png&w=96&h=70&cb=1
coltoncowser-OF,Colton Cowser,OF,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4416990.png&w=96&h=70&cb=1
connorjoe-OF,Connor Joe,OF,PIT,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35440.png&w=96&h=70&cb=1
corbinburnes-SP,Corbin Burnes,SP,MIL,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39878.png&w=96&h=70&cb=1
corbincarroll-OF,Corbin Carroll,OF,ARI,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42404.png&w=96&h=70&cb=1
coreyjulks-3B,Corey Julks,3B,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41526.png&w=96&h=70&cb=1
