pick,round,manager_id,player_id
1,1,2,nikolajokic-C
2,1,3,joelembiid-C
3,1,10,tyresehaliburton-PG
4,1,1,lukadoncic-PG
5,1,6,shaigilgeousalexander-SG
6,1,7,jaysontatum-SF
7,1,9,stephencurry-PG
8,1,5,kevindurant-SF
9,1,4,giannisantetokounmpo-PF
10,1,8,damianlillard-PG
11,2,8,domantassabonis-PF
12,2,4,traeyoung-PG
13,2,5,lameloball-PG
14,2,9,anthonyedwards-SG
15,2,7,donovanmitchell-SG
16,2,6,kyrieirving-PG
17,2,1,karlanthonytowns-C
18,2,10,buddyhield-SG
19,2,3,devinbooker-SG
20,2,2,anthonydavis-PF
21,3,2,victorwembanyama-C
22,3,3,mikalbridges-SF
23,3,10,lebronjames-SF
24,3,1,jimmybutler-SF
25,3,6,jamesharden-SG
26,3,7,laurimarkkanen-PF
27,3,9,bamadebayo-C
28,3,5,jarenjacksonjr-PF
29,3,4,jalenbrunson-PG
30,3,8,pascalsiakam-PF
31,4,8,cadecunningham-PG
32,4,4,paulgeorge-SF
33,4,5,demarderozan-SF
34,4,9,deaaronfox-PG
35,4,7,kawhileonard-SF
36,4,6,dariusgarland-PG
37,4,1,jaylenbrown-SG
38,4,10,chetholmgren-PF
39,4,3,dejountemurray-PG
40,4,2,jordanpoole-SG
41,5,2,zionwilliamson-PF
42,5,3,kristapsporzingis-C
43,5,10,obitoppin-PF
44,5,1,evanmobley-PF
45,5,6,nikolavucevic-C
46,5,7,mylesturner-C
47,5,9,scottiebarnes-PF
48,5,5,jamalmurray-PG
49,5,4,desmondbane-SG
50,5,8,paolobanchero-PF
51,6,8,zachlavine-SG
52,6,4,juliusrandle-PF
53,6,5,oganunoby-SF
54,6,9,joshgiddey-PG
55,6,7,jrueholiday-PG
56,6,6,kylekuzma-PF
57,6,1,brandoningram-SF
58,6,10,bennedictmathurin-SF
59,6,3,deandreayton-C
60,6,2,jamorant-PG
61,7,2,bradleybeal-SG
62,7,3,tyresemaxey-SG
63,7,10,nazreid-C
64,7,1,nicclaxton-C
65,7,6,franzwagner-SF
66,7,7,tylerherro-SG
67,7,9,walkerkessler-C
68,7,5,jalenwilliams-SG
69,7,4,jalengreen-SG
70,7,8,alperensengun-C
71,8,8,austinreaves-SG
72,8,4,klaythompson-SG
73,8,5,devinvassell-SF
74,8,9,jarrettallen-C
75,8,7,brooklopez-C
76,8,6,khrismiddleton-SF
77,8,1,scoothenderson-PG
78,8,10,anferneesimons-SG
79,8,3,tyusjones-PG
80,8,2,andrewwiggins-SF
81,9,2,keeganmurray-PF
82,9,3,jeramigrant-PF
83,9,10,cameronjohnson-SF
84,9,1,tobiasharris-SF
85,9,6,fredvanvleet-PG
86,9,7,cjmccollum-SG
87,9,9,trejones-PG
88,9,5,rudygobert-C
89,9,4,jadenivey-PG
90,9,8,terryrozier-SG
91,10,8,jabarismithjr-PF
92,10,4,jonasvalanciunas-C
93,10,5,danielgafford-C
94,10,9,spencerdinwiddie-SG
95,10,7,marcussmart-SG
96,10,6,chrispaul-PG
97,10,1,johncollins-PF
98,10,10,aarongordon-PF
99,10,3,draymondgreen-PF
100,10,2,bensimmons-PG
101,11,2,michaelporterjr-SF
102,11,3,pjwashington-PF
103,11,10,ausarthompson-SF
104,11,1,russellwestbrook-PG
105,11,6,jakobpoeltl-C
106,11,7,keldonjohnson-SF
107,11,9,joshhart-SG
108,11,5,dangelorussell-PG
109,11,4,kevinhuerter-SG
110,11,8,shaedonsharpe-SG
111,12,8,brandonmiller-SG
112,12,4,rjbarrett-SF
113,12,5,markwilliams-C
114,12,9,wendellcarterjr-C
115,12,7,harrisonbarnes-SF
116,12,6,robertwilliamsiii-C
117,12,1,jalenduren-C
118,12,10,kellyolynyk-C
119,12,3,amenthompson-SG
120,12,2,derrickwhite-PG
121,13,2,markellefultz-PG
122,13,3,bojanbogdanovic-PF
123,13,10,gradeydick-SG
124,13,1,collinsexton-SG
125,13,6,jusufnurkic-C
126,13,7,herbertjones-PF
127,13,9,jordanclarkson-SG
128,13,5,milesbridges-PF
129,13,4,onyekaokongwu-C
130,13,8,garytrentjr-SG
