id,name,pos,team,img
aarongordon-PF,Aaron Gordon,PF,DEN,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066261.png&w=96&h=70&cb=1
aaronnesmith-SF,Aaron Nesmith,SF,IND,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4396909.png&w=96&h=70&cb=1
alecburks-SG,Alec Burks,SG,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6429.png&w=96&h=70&cb=1
aleksejpokusevski-PF,Aleksej Pokusevski,PF,OKC,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683018.png&w=96&h=70&cb=1
alexcaruso-PG,Alex Caruso,PG,CHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2991350.png&w=96&h=70&cb=1
alhorford-C,Al Horford,C,BOS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3213.png&w=96&h=70&cb=1
alperensengun-C,Alperen Sengun,C,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4871144.png&w=96&h=70&cb=1
amenthompson-SG,Amen Thompson,SG,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4684740.png&w=96&h=70&cb=1
andredrummond-C,Andre Drummond,C,CHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6585.png&w=96&h=70&cb=1
andrewnembhard-PG,Andrew Nembhard,PG,IND,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395712.png&w=96&h=70&cb=1
andrewwiggins-SF,Andrew Wiggins,SF,GS,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3059319.png&w=96&h=70&cb=1
anferneesimons-SG,Anfernee Simons,SG,POR,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3907497.png&w=96&h=70&cb=1
anthonyblack-SG,Anthony Black,SG,ORL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4712849.png&w=96&h=70&cb=1
anthonydavis-PF,Anthony Davis,PF,LAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6583.png&w=96&h=70&cb=1
anthonyedwards-SG,Anthony Edwards,SG,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4594268.png&w=96&h=70&cb=1
