week,id,injury,opp,proj,prev_score,roster,roster_change,total_pts,avg_pts
0,aarongordon-PF,,,,,78.0,3.8,,
0,alecburks-SG,,,,,1.4,0.4,,
0,aleksejpokusevski-PF,,,,,3.2,0.4,,
0,alexcaruso-PG,,,,,9.6,1.9,,
0,alhorford-C,,,,,18.7,-4.6,,
0,alperensengun-C,,,,,92.1,4.5,,
0,amenthompson-SG,,,,,39.0,0.6,,
0,andredrummond-C,,,,,2.0,-0.3,,
0,andrewnembhard-PG,,,,,1.6,0.8,,
0,andrewwiggins-SF,,,,,85.3,0.7,,
0,anferneesimons-SG,,,,,83.0,2.3,,
0,anthonyblack-SG,,,,,3.6,-0.9,,
0,anthonydavis-PF,,PHX,,,99.9,0.0,,
0,anthonyedwards-SG,,,,,99.9,0.1,,
0,ausarthompson-SF,,,,,39.6,4.2,,
0,austinreaves-SG,,PHX,,,91.0,8.5,,
0,ayodosunmu-SG,,,,,1.5,0.3,,
0,bamadebayo-C,,,,,99.6,0.1,,
0,bennedictmathurin-SF,,,,,33.3,5.0,,
0,bensimmons-PG,,,,,64.7,12.1,,
0,bilalcoulibaly-SF,,,,,2.0,-0.1,,
0,bismackbiyombo-C,,@LAL,,,3.4,1.2,,
0,bobbyportis-PF,,PHI,,,74.3,0.5,,
0,bogdanbogdanovic-SG,,,,,20.3,-6.3,,
0,bojanbogdanovic-PF,O,,,,36.2,-13.9,,
0,bolbol-C,,@LAL,,,12.6,-3.0,,
0,boneshyland-PG,,,,,3.3,0.3,,
0,bradleybeal-SG,DTD,@LAL,,,88.7,-1.7,,
0,brandonclarke-PF,O,,,,1.6,-0.4,,
0,brandoningram-SF,,,,,98.0,0.4,,
0,brandonmiller-SG,,,,,66.9,-1.5,,
0,brooklopez-C,,PHI,,,81.4,0.4,,
0,brucebrown-SG,,,,,25.6,7.9,,
0,buddyhield-SG,,,,,82.1,3.5,,
0,cadecunningham-PG,,,,,96.1,4.1,,
0,calebmartin-SG,,,,,4.4,0.6,,
0,cameronjohnson-SF,,,,,76.0,4.5,,
0,cameronpayne-PG,,PHI,,,5.2,0.7,,
0,camthomas-SG,,,,,19.6,13.1,,
0,camwhitmore-SF,,,,,3.2,-1.0,,
0,carislevert-SG,,,,,34.0,2.7,,
0,chetholmgren-PF,,,,,93.2,4.1,,
0,chrisboucher-PF,,,,,2.8,0.4,,
0,chrispaul-PG,,,,,85.0,2.2,,
0,christianbraun-SG,,,,,1.2,0.2,,
0,christianwood-C,,PHX,,,58.3,-8.4,,
0,cjmccollum-SG,,,,,91.1,1.9,,
0,clintcapela-C,,,,,79.2,1.7,,
0,cobywhite-PG,,,,,7.6,3.3,,
0,coleanthony-PG,,,,,20.2,1.2,,
0,collinsexton-SG,,,,,49.1,1.9,,
0,damianlillard-PG,,PHI,,,99.9,0.0,,
0,dangelorussell-PG,,PHX,,,86.4,2.7,,
0,danielgafford-C,,,,,60.8,10.4,,
0,dariusgarland-PG,,,,,97.0,-0.8,,
0,deaaronfox-PG,,,,,99.5,0.0,,
0,deandreayton-C,,,,,89.5,2.1,,
0,deandrehunter-SF,,,,,7.4,1.5,,
0,deanthonymelton-PG,,@MIL,,,23.4,10.8,,
0,dejountemurray-PG,,,,,98.5,0.2,,
0,delonwright-SG,,,,,3.2,0.6,,
0,demarderozan-SF,,,,,99.6,0.0,,
0,deniavdija-SF,,,,,7.4,2.6,,
0,dennisschroder-PG,,,,,39.1,2.4,,
0,derecklivelyii-C,,,,,10.5,7.8,,
0,derrickrose-PG,,,,,3.1,-0.1,,
0,derrickwhite-PG,,,,,68.1,1.8,,
0,desmondbane-SG,,,,,96.7,2.6,,
0,devinbooker-SG,DTD,@LAL,,,99.9,0.0,,
0,devinvassell-SF,,,,,81.8,5.5,,
0,dillonbrooks-SG,,,,,12.4,1.2,,
0,domantassabonis-PF,,,,,99.8,0.1,,
0,donovanmitchell-SG,,,,,99.9,0.0,,
0,dontedivincenzo-SG,,,,,5.2,0.0,,
0,dorianfinneysmith-SF,,,,,1.2,0.0,,
0,draymondgreen-PF,O,,,,68.0,-4.7,,
0,dreweubanks-PF,,@LAL,,,1.7,1.4,,
0,dwightpowell-C,,,,,1.2,0.4,,
0,emonibates-SF,,,,,1.8,0.1,,
0,ericgordon-SG,,@LAL,,,3.9,2.5,,
0,evanmobley-PF,,,,,95.7,2.4,,
0,franzwagner-SF,,,,,89.1,4.9,,
0,fredvanvleet-PG,,,,,90.8,-0.1,,
0,gabevincent-PG,,PHX,,,3.5,0.6,,
0,garytrentjr-SG,,,,,24.9,-6.4,,
0,giannisantetokounmpo-PF,,PHI,,,99.9,0.0,,
0,gordonhayward-SF,,,,,9.6,-0.8,,
0,gradeydick-SG,,,,,5.3,-0.8,,
0,grantwilliams-PF,,,,,2.0,0.4,,
0,graysonallen-SG,,@LAL,,,2.2,0.3,,
0,harrisonbarnes-SF,,,,,35.2,12.3,,
0,herbertjones-PF,,,,,15.5,2.8,,
0,immanuelquickley-PG,,,,,44.2,10.2,,
0,isaacokoro-SF,,,,,1.3,0.8,,
0,isaiahhartenstein-C,,,,,1.3,0.3,,
0,isaiahstewart-C,,,,,6.3,2.3,,
0,ivicazubac-C,,,,,43.6,10.0,,
0,jabarismithjr-PF,,,,,70.7,7.4,,
0,jadenivey-PG,,,,,60.3,-2.1,,
0,jadenmcdaniels-SF,DTD,,,,13.4,1.6,,
0,jaecrowder-PF,,PHI,,,3.7,0.8,,
0,jakobpoeltl-C,,,,,81.7,1.8,,
0,jalenbrunson-PG,,,,,99.4,0.3,,
0,jalenduren-C,,,,,33.7,9.6,,
0,jalengreen-SG,,,,,87.5,2.9,,
0,jalenjohnson-SF,,,,,5.1,4.0,,
0,jalensmith-PF,,,,,1.3,-0.1,,
0,jalensuggs-PG,,,,,6.1,0.5,,
0,jalenwilliams-SG,,,,,87.9,5.9,,
0,jamalmurray-PG,,,,,98.3,1.2,,
0,jamesharden-SG,O,@MIL,,,95.9,-2.5,,
0,jameswiseman-C,,,,,6.1,-0.9,,
0,jamorant-PG,SSPD,,,,91.1,-0.6,,
0,jaracewalker-PF,,,,,4.2,0.2,,
0,jarenjacksonjr-PF,,,,,98.8,0.1,,
0,jarredvanderbilt-PF,O,PHX,,,19.5,4.6,,
0,jarrettallen-C,DTD,,,,85.7,0.1,,
0,jaylenbrown-SG,,,,,99.4,-0.1,,
0,jaysontatum-SF,,,,,100.0,0.0,,
0,jeramigrant-PF,,,,,73.6,-2.9,,
0,jeremysochan-PF,,,,,18.3,12.0,,
0,jimmybutler-SF,,,,,99.8,0.0,,
0,joelembiid-C,,@MIL,,,99.9,0.0,,
0,johncollins-PF,,,,,75.7,1.3,,
0,johnwall-PG,,,,,1.3,-0.6,,
0,jonasvalanciunas-C,,,,,80.9,3.5,,
0,jonathanisaac-PF,,,,,16.6,-7.6,,
0,jonathankuminga-PF,,,,,28.3,5.1,,
0,jordanclarkson-SG,,,,,77.0,1.5,,
0,jordanpoole-SG,,,,,99.0,3.0,,
0,joshgiddey-PG,,,,,96.4,3.3,,
0,joshhart-SG,,,,,57.5,-4.4,,
0,joshokogie-SG,,@LAL,,,9.0,8.6,,
0,joshrichardson-SG,DTD,,,,2.9,0.1,,
0,jrueholiday-PG,,,,,93.6,-0.1,,
0,juliusrandle-PF,,,,,98.8,0.8,,
0,jusufnurkic-C,,@LAL,,,75.7,4.8,,
0,karlanthonytowns-C,,,,,99.2,0.3,,
0,kawhileonard-SF,,,,,98.2,-0.6,,
0,keeganmurray-PF,,,,,81.4,9.2,,
0,keldonjohnson-SF,,,,,82.5,2.8,,
0,kellyolynyk-C,,,,,12.3,-2.7,,
0,kellyoubrejr-PF,,@MIL,,,53.0,-0.6,,
0,kembawalker-PG,,,,,7.9,-8.3,,
0,kentaviouscaldwellpope-SG,,,,,23.4,13.0,,
0,kenyonmartinjr-SF,,,,,3.2,-0.2,,
0,kevindurant-SF,,@LAL,,,99.9,0.0,,
0,kevinhuerter-SG,,,,,69.9,0.4,,
0,kevinlove-PF,,,,,4.2,0.6,,
0,kevinporterjr-SG,DTD,,,,11.2,-12.5,,
0,kevonlooney-C,,,,,58.0,8.5,,
0,keyontegeorge-SG,,,,,3.4,0.3,,
0,khrismiddleton-SF,,PHI,,,89.2,3.7,,
0,killianhayes-PG,,,,,3.9,0.2,,
0,klaythompson-SG,,,,,87.5,2.0,,
0,kristapsporzingis-C,,,,,98.8,1.4,,
0,kyleanderson-SF,,,,,30.9,-3.6,,
0,kylekuzma-PF,,,,,92.2,2.0,,
0,kylelowry-PG,,,,,11.9,-2.2,,
0,kyrieirving-PG,,,,,99.7,0.1,,
0,lameloball-PG,,,,,99.7,0.4,,
0,larrynancejr-PF,,,,,1.6,0.2,,
0,laurimarkkanen-PF,,,,,99.3,0.0,,
0,lebronjames-SF,,PHX,,,99.9,0.0,,
0,lonniewalkeriv-SF,,,,,1.2,-0.3,,
0,lonzoball-PG,O,,,,2.7,-1.7,,
0,luguentzdort-SG,,,,,7.3,1.2,,
0,lukadoncic-PG,,,,,99.9,0.0,,
0,lukekennard-SG,,,,,1.4,0.1,,
0,malcolmbrogdon-PG,,,,,60.9,-3.2,,
0,malikbeasley-SG,,PHI,,,7.4,3.5,,
0,malikmonk-SG,,,,,18.1,5.5,,
0,marcussmart-SG,,,,,76.5,0.8,,
0,markellefultz-PG,,,,,39.1,4.9,,
0,markwilliams-C,,,,,54.0,8.7,,
0,marvinbagleyiii-PF,,,,,6.3,0.4,,
0,masonplumlee-C,,,,,14.6,-4.7,,
0,matissethybulle-SF,,,,,1.7,0.3,,
0,maxstrus-SG,,,,,12.8,10.0,,
0,michaelporterjr-SF,,,,,76.5,2.9,,
0,mikalbridges-SF,,,,,99.5,1.5,,
0,mikeconley-PG,,,,,59.7,-4.4,,
0,milesbridges-PF,SSPD,,,,17.5,-7.2,,
0,mitchellrobinson-C,,,,,28.8,-5.0,,
0,mobamba-C,,@MIL,,,2.2,-0.4,,
0,montemorris-PG,O,,,,2.7,-1.1,,
0,mosesmoody-SG,,,,,1.8,1.2,,
0,mylesturner-C,,,,,90.0,1.0,,
0,nazreid-C,,,,,32.0,5.3,,
0,nicclaxton-C,,,,,86.1,1.0,,
0,nikolajokic-C,,,,,100.0,0.0,,
0,nikolavucevic-C,,,,,98.6,0.6,,
0,normanpowell-SG,,,,,13.5,2.4,,
0,obitoppin-PF,,,,,12.5,4.3,,
0,oganunoby-SF,,,,,83.2,2.3,,
0,onyekaokongwu-C,,,,,46.6,5.1,,
0,paolobanchero-PF,,,,,98.3,3.2,,
0,pascalsiakam-PF,,,,,99.4,0.0,,
0,patrickbeverley-PG,,@MIL,,,3.5,1.1,,
0,patrickwilliams-PF,,,,,4.5,0.5,,
0,paulgeorge-SF,,,,,96.8,1.1,,
0,paulreed-PF,,@MIL,,,2.3,0.7,,
0,paytonpritchard-PG,,,,,1.4,0.0,,
0,pjwashington-PF,,,,,70.0,2.0,,
0,quentingrimes-SG,,,,,2.3,0.2,,
0,reggiejackson-PG,,,,,2.5,0.3,,
0,rjbarrett-SF,,,,,57.9,3.2,,
0,robertcovington-PF,,,,,1.5,0.4,,
0,robertwilliamsiii-C,,,,,50.3,-11.3,,
0,royceoneale-SF,,,,,23.9,3.8,,
0,rudygobert-C,,,,,85.5,2.9,,
0,ruihachimura-PF,,PHX,,,17.3,2.7,,
0,russellwestbrook-PG,,,,,89.6,2.6,,
0,saddiqbey-SF,,,,,22.0,6.4,,
0,santialdama-PF,DTD,,,,2.6,1.8,,
0,sashavezenkov-PF,,,,,1.1,-0.1,,
0,scoothenderson-PG,,,,,89.5,2.5,,
0,scottiebarnes-PF,,,,,96.0,3.1,,
0,sethcurry-SG,,,,,5.7,-0.4,,
0,shaedonsharpe-SG,,,,,61.0,12.4,,
0,shaigilgeousalexander-SG,,,,,99.9,0.0,,
0,shakemilton-PG,,,,,1.2,0.4,,
0,spencerdinwiddie-SG,,,,,90.7,1.5,,
0,stephencurry-PG,,,,,99.9,0.0,,
0,stevenadams-C,O,,,,8.8,-13.8,,
0,talenhortontucker-SG,,,,,6.7,2.5,,
0,tarieason-SF,O,,,,11.1,0.0,,
0,taureanprince-SF,,PHX,,,10.7,10.3,,
0,taylorhendricks-PF,,,,,1.9,-0.1,,
0,terancemann-SF,O,,,,4.5,2.2,,
0,terryrozier-SG,,,,,77.2,1.0,,
0,thomasbryant-C,,,,,1.6,-0.6,,
0,timhardawayjr-SG,,,,,5.8,1.1,,
0,tjmcconnell-PG,,,,,41.6,3.7,,
0,tobiasharris-SF,,@MIL,,,81.5,2.9,,
0,traeyoung-PG,,,,,99.9,0.1,,
0,trejones-PG,,,,,78.0,-0.1,,
0,treymurphyiii-SG,O,,,,12.2,-1.2,,
0,tylerherro-SG,,,,,89.0,2.9,,
0,tyresehaliburton-PG,,,,,99.9,0.1,,
0,tyresemaxey-SG,,@MIL,,,94.4,3.0,,
0,tyusjones-PG,,,,,84.2,15.0,,
0,victoroladipo-SG,O,,,,1.4,-0.6,,
0,victorwembanyama-C,,,,,99.9,0.2,,
0,walkerkessler-C,,,,,87.0,3.7,,
