pick,round,manager_id,player_id
1,1,4,justinjefferson-WR
2,1,1,jamarrchase-WR
3,1,7,christianmccaffrey-RB
4,1,2,austinekeler-RB
5,1,6,traviskelce-TE
6,1,10,tyreekhill-WR
7,1,9,davanteadams-WR
8,1,5,stefondiggs-WR
9,1,8,bijanrobinson-RB
10,1,3,saquonbarkley-RB
11,2,3,cooperkupp-WR
12,2,8,derrickhenry-RB
13,2,5,patrickmahomes-QB
14,2,9,ceedeelamb-WR
15,2,10,tonypollard-RB
16,2,6,nickchubb-RB
17,2,2,garrettwilson-WR
18,2,7,joemixon-RB
19,2,1,joshjacobs-RB
20,2,4,joshallen-QB
21,3,4,najeeharris-RB
22,3,1,jalenhurts-QB
23,3,7,jaylenwaddle-WR
24,3,2,ajbrown-WR
25,3,6,amonrastbrown-WR
26,3,10,dkmetcalf-WR
27,3,9,travisetiennejr-RB
28,3,5,teehiggins-WR
29,3,8,chrisolave-WR
30,3,3,jahmyrgibbs-RB
31,4,3,calvinridley-WR
32,4,8,devontasmith-WR
33,4,5,rhamondrestevenson-RB
34,4,9,aaronjones-RB
35,4,10,dameonpierce-RB
36,4,6,deebosamuel-WR
37,4,2,markandrews-TE
38,4,7,lamarjackson-QB
39,4,1,breecehall-RB
40,4,4,keenanallen-WR
41,5,4,tjhockenson-TE
42,5,1,darrenwaller-TE
43,5,7,amaricooper-WR
44,5,2,deandrehopkins-WR
45,5,6,joeburrow-QB
46,5,10,justinherbert-QB
47,5,9,justinfields-QB
48,5,5,alexandermattison-RB
49,5,8,diontaejohnson-WR
50,5,3,djmoore-WR
51,6,3,christianwatson-WR
52,6,8,rachaadwhite-RB
53,6,5,mikewilliams-WR
54,6,9,kennethwalkeriii-RB
55,6,10,evanengram-TE
56,6,6,alvinkamara-RB
57,6,2,jamesconner-RB
58,6,7,mikeevans-WR
59,6,1,chrisgodwin-WR
60,6,4,camakers-RB
61,7,4,49ersdst-DST
62,7,1,jerryjeudy-WR
63,7,7,milessanders-RB
64,7,2,jamescook-RB
65,7,6,javontewilliams-RB
66,7,10,terrymclaurin-WR
67,7,9,drakelondon-WR
68,7,5,tylerlockett-WR
69,7,8,marquisebrown-WR
70,7,3,kylepitts-TE
71,8,3,isiahpacheco-RB
72,8,8,deshaunwatson-QB
73,8,5,georgekittle-TE
74,8,9,dallasgoedert-TE
75,8,10,jonathantaylor-RB
76,8,6,jkdobbins-RB
77,8,2,dalvincook-RB
78,8,7,christiankirk-WR
79,8,1,brandonaiyuk-WR
80,8,4,davidmontgomery-RB
81,9,4,brandincooks-WR
82,9,1,dandreswift-RB
83,9,7,georgepickens-WR
84,9,2,trevorlawrence-QB
85,9,6,jahandotson-WR
86,9,10,michaelpittmanjr-WR
87,9,9,jordanaddison-WR
88,9,5,ajdillon-RB
89,9,8,patfreiermuth-TE
90,9,3,khalilherbert-RB
91,10,3,aaronrodgers-QB
92,10,8,courtlandsutton-WR
93,10,5,jakobimeyers-WR
94,10,9,jaxonsmithnjigba-WR
95,10,10,skyymoore-WR
96,10,6,zayflowers-WR
97,10,2,michaelthomas-WR
98,10,7,davidnjoku-TE
99,10,1,jujusmithschuster-WR
100,10,4,colekmet-TE
101,11,4,brianrobinsonjr-RB
102,11,1,billsdst-DST
103,11,7,antoniogibson-RB
104,11,2,daltonschultz-TE
105,11,6,gabedavis-WR
106,11,10,treylonburks-WR
107,11,9,quentinjohnston-WR
108,11,5,justintucker-K
109,11,8,odellbeckhamjr-WR
110,11,3,jamaalwilliams-RB
111,12,3,cowboysdst-DST
112,12,8,dakprescott-QB
113,12,5,tuatagovailoa-QB
114,12,9,rondalemoore-WR
115,12,10,kirkcousins-QB
116,12,6,samajeperine-RB
117,12,2,darnellmooney-WR
118,12,7,rashaadpenny-RB
119,12,1,evanmcpherson-K
120,12,4,michaelgallup-WR
121,13,4,harrisonbutker-K
122,13,1,adamthielen-WR
123,13,7,nicocollins-WR
124,13,2,zachcharbonnet-RB
125,13,6,anthonyrichardson-QB
126,13,10,danieljones-QB
127,13,9,elijahmitchell-RB
128,13,5,steelersdst-DST
129,13,8,raheemmostert-RB
130,13,3,elijahmoore-WR
131,14,3,daltonkincaid-TE
132,14,8,jerickmckinnon-RB
133,14,5,tylerboyd-WR
134,14,9,ezekielelliott-RB
135,14,10,tylerhigbee-TE
136,14,6,jaylenwarren-RB
137,14,2,genosmith-QB
138,14,7,russellwilson-QB
139,14,1,jaredgoff-QB
140,14,4,djcharkjr-WR
141,15,4,kjosborn-WR
142,15,1,hunterrenfrow-WR
143,15,7,danielcarlson-K
144,15,2,tylerbass-K
145,15,6,jakeelliott-K
146,15,10,saintsdst-DST
147,15,9,camerondicker-K
148,15,5,devinsingletary-RB
149,15,8,dolphinsdst-DST
150,15,3,gregzuerlein-K
151,16,3,kennypickett-QB
152,16,8,cairosantos-K
153,16,5,parriscampbell-WR
154,16,9,patriotsdst-DST
155,16,10,grahamgano-K
156,16,6,ravensdst-DST
157,16,2,eaglesdst-DST
158,16,7,brownsdst-DST
159,16,1,allenlazard-WR
160,16,4,tylerallgeier-RB
