pick,round,manager_id,player_id
1,1,3,justinjefferson-WR
2,1,1,christianmccaffrey-RB
3,1,7,jamarrchase-WR
4,1,4,traviskelce-TE
5,1,6,austinekeler-RB
6,1,9,tyreekhill-WR
7,1,2,bijanrobinson-RB
8,1,8,cooperkupp-WR
9,1,5,derrickhenry-RB
10,1,10,davanteadams-WR
11,2,10,tonypollard-RB
12,2,5,stefondiggs-WR
13,2,8,nickchubb-RB
14,2,2,ceedeelamb-WR
15,2,9,saquonbarkley-RB
16,2,6,garrettwilson-WR
17,2,4,amonrastbrown-WR
18,2,7,joshjacobs-RB
19,2,1,ajbrown-WR
20,2,3,jonathantaylor-RB
21,3,3,jalenhurts-QB
22,3,1,jaylenwaddle-WR
23,3,7,teehiggins-WR
24,3,4,joemixon-RB
25,3,6,patrickmahomes-QB
26,3,9,chrisolave-WR
27,3,2,joshallen-QB
28,3,8,jahmyrgibbs-RB
29,3,5,aaronjones-RB
30,3,10,najeeharris-RB
31,4,10,calvinridley-WR
32,4,5,dkmetcalf-WR
33,4,8,devontasmith-WR
34,4,2,amaricooper-WR
35,4,9,travisetiennejr-RB
36,4,6,deebosamuel-WR
37,4,4,keenanallen-WR
38,4,7,lamarjackson-QB
39,4,1,markandrews-TE
40,4,3,chrisgodwin-WR
41,5,3,breecehall-RB
42,5,1,rhamondrestevenson-RB
43,5,7,alvinkamara-RB
44,5,4,justinfields-QB
45,5,6,deandrehopkins-WR
46,5,9,joeburrow-QB
47,5,2,christianwatson-WR
48,5,8,dameonpierce-RB
49,5,5,georgekittle-TE
50,5,10,tjhockenson-TE
51,6,10,milessanders-RB
52,6,5,diontaejohnson-WR
53,6,8,dallasgoedert-TE
54,6,2,djmoore-WR
55,6,9,darrenwaller-TE
56,6,6,kennethwalkeriii-RB
57,6,4,rachaadwhite-RB
58,6,7,kylepitts-TE
59,6,1,mikeevans-WR
60,6,3,jerryjeudy-WR
61,7,3,camakers-RB
62,7,1,jamesconner-RB
63,7,7,mikewilliams-WR
64,7,4,alexandermattison-RB
65,7,6,marquisebrown-WR
66,7,9,terrymclaurin-WR
67,7,2,javontewilliams-RB
68,7,8,justinherbert-QB
69,7,5,isiahpacheco-RB
70,7,10,trevorlawrence-QB
71,8,10,jkdobbins-RB
72,8,5,deshaunwatson-QB
73,8,8,drakelondon-WR
74,8,2,christiankirk-WR
75,8,9,khalilherbert-RB
76,8,6,patfreiermuth-TE
77,8,4,tylerlockett-WR
78,8,7,courtlandsutton-WR
79,8,1,davidmontgomery-RB
80,8,3,evanengram-TE
81,9,3,brandincooks-WR
82,9,1,georgepickens-WR
83,9,7,dandreswift-RB
84,9,4,brandonaiyuk-WR
85,9,6,michaelpittmanjr-WR
86,9,9,michaelthomas-WR
87,9,2,jamescook-RB
88,9,8,jahandotson-WR
89,9,5,dalvincook-RB
90,9,10,jordanaddison-WR
91,10,10,jaxonsmithnjigba-WR
92,10,5,jujusmithschuster-WR
93,10,8,brianrobinsonjr-RB
94,10,2,davidnjoku-TE
95,10,9,49ersdst-DST
96,10,6,ajdillon-RB
97,10,4,jakobimeyers-WR
98,10,7,genosmith-QB
99,10,1,skyymoore-WR
100,10,3,tylerboyd-WR
101,11,3,odellbeckhamjr-WR
102,11,1,kirkcousins-QB
103,11,7,justintucker-K
104,11,4,antoniogibson-RB
105,11,6,zayflowers-WR
106,11,9,jeffwilsonjr-RB
107,11,2,gabedavis-WR
108,11,8,treylonburks-WR
109,11,5,billsdst-DST
110,11,10,daltonschultz-TE
111,12,10,nicocollins-WR
112,12,5,aaronrodgers-QB
113,12,8,cowboysdst-DST
114,12,2,steelersdst-DST
115,12,9,rondalemoore-WR
116,12,6,saintsdst-DST
117,12,4,danielcarlson-K
118,12,7,packersdst-DST
119,12,1,allenlazard-WR
120,12,3,ezekielelliott-RB
121,13,3,quentinjohnston-WR
122,13,1,michaelgallup-WR
123,13,7,colekmet-TE
124,13,4,zachertz-TE
125,13,6,elijahmitchell-RB
126,13,9,jamaalwilliams-RB
127,13,2,harrisonbutker-K
128,13,8,jerickmckinnon-RB
129,13,5,darnellmooney-WR
130,13,10,dakprescott-QB
131,14,10,jaylenwarren-RB
132,14,5,evanmcpherson-K
133,14,8,jakeelliott-K
134,14,2,roschonjohnson-RB
135,14,9,camerondicker-K
136,14,6,tylerbass-K
137,14,4,tuatagovailoa-QB
138,14,7,adamthielen-WR
139,14,1,kadariustoney-WR
140,14,3,kjosborn-WR
141,15,3,jasonmyers-K
142,15,1,commandersdst-DST
143,15,7,tylerhigbee-TE
144,15,4,samajeperine-RB
145,15,6,zachcharbonnet-RB
146,15,9,mattbreida-RB
147,15,2,daltonkincaid-TE
148,15,8,russellwilson-QB
149,15,5,zayjones-WR
150,15,10,patriotsdst-DST
151,16,10,younghoekoo-K
152,16,5,tylerallgeier-RB
153,16,8,elijahmoore-WR
154,16,2,tankbigsby-RB
155,16,9,geraldeverett-TE
156,16,6,rashaadpenny-RB
157,16,4,dolphinsdst-DST
158,16,7,devinsingletary-RB
159,16,1,grahamgano-K
160,16,3,ravensdst-DST
