id,name,pos,team,img
49ersdst-DST,49ers DST,DST,SF,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sf.png&h=188&w=188&w=96&h=70&cb=1
aaronjones-RB,Aaron Jones,RB,MIN,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3042519.png&w=96&h=70&cb=1
aaronrodgers-QB,Aaron Rodgers,QB,NYJ,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8439.png&w=96&h=70&cb=1
adamthielen-WR,Adam Thielen,WR,CAR,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16460.png&w=96&h=70&cb=1
adonaimitchell-WR,Adonai Mitchell,WR,IND,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4597500.png&w=96&h=70&cb=1
ajbrown-WR,AJ Brown,WR,PHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4047646.png&w=96&h=70&cb=1
alexandermattison-RB,Alexander Mattison,RB,LV,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4048244.png&w=96&h=70&cb=1
alvinkamara-RB,Alvin Kamara,RB,NO,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3054850.png&w=96&h=70&cb=1
amaricooper-WR,Amari Cooper,WR,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2976499.png&w=96&h=70&cb=1
amonrastbrown-WR,AmonRa St Brown,WR,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4374302.png&w=96&h=70&cb=1
anthonyrichardson-QB,Anthony Richardson,QB,IND,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4429084.png&w=96&h=70&cb=1
antoniogibson-RB,Antonio Gibson,RB,NE,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4360294.png&w=96&h=70&cb=1
austinekeler-RB,Austin Ekeler,RB,WSH,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3068267.png&w=96&h=70&cb=1
bakermayfield-QB,Baker Mayfield,QB,TB,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3052587.png&w=96&h=70&cb=1
bearsdst-DST,Bears DST,DST,CHI,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/chi.png&h=188&w=188&w=96&h=70&cb=1
bengalsdst-DST,Bengals DST,DST,CIN,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cin.png&h=188&w=188&w=96&h=70&cb=1
bensinnott-TE,Ben Sinnott,TE,WSH,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4690923.png&w=96&h=70&cb=1
bijanrobinson-RB,Bijan Robinson,RB,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4430807.png&w=96&h=70&cb=1
billsdst-DST,Bills DST,DST,BUF,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/buf.png&h=188&w=188&w=96&h=70&cb=1
blakecorum-RB,Blake Corum,RB,LAR,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4429096.png&w=96&h=70&cb=1
bonix-QB,Bo Nix,QB,DEN,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4426338.png&w=96&h=70&cb=1
braelonallen-RB,Braelon Allen,RB,NYJ,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4685247.png&w=96&h=70&cb=1
brandincooks-WR,Brandin Cooks,WR,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16731.png&w=96&h=70&cb=1
brandonaiyuk-WR,Brandon Aiyuk,WR,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4360438.png&w=96&h=70&cb=1
brandonaubrey-K,Brandon Aubrey,K,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3953687.png&w=96&h=70&cb=1
breecehall-RB,Breece Hall,RB,NYJ,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4427366.png&w=96&h=70&cb=1
brianrobinsonjr-RB,Brian Robinson Jr,RB,WSH,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4241474.png&w=96&h=70&cb=1
brianthomasjr-WR,Brian Thomas Jr,WR,JAX,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4432773.png&w=96&h=70&cb=1
brockbowers-TE,Brock Bowers,TE,LV,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4432665.png&w=96&h=70&cb=1
brockpurdy-QB,Brock Purdy,QB,SF,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4361741.png&w=96&h=70&cb=1
